,name,date,year,day,ext,size
0,20211211_155929,20211211,2021,Saturday,gif,2273930
1,20220127_151300,20220127,2022,Thursday,jpg,1678337
2,20220129_112034,20220129,2022,Saturday,mp4,4454361
3,20220129_112037,20220129,2022,Saturday,heic,1782158
4,20220129_112346,20220129,2022,Saturday,mp4,3901180
5,20220212_061050 (4),20220212,2022,Saturday,jpg,75053
6,20220213_050416,20220213,2022,Sunday,mov,31390015
7,20220307_073727,20220307,2022,Monday,jpg,1276868
8,20220430_140702,20220430,2022,Saturday,jpg,162767
9,20220129_112030,20220129,2022,Saturday,heic,2048087
10,20220129_112030,20220129,2022,Saturday,mp4,3275226
11,20220129_112034,20220129,2022,Saturday,heic,1535884
12,20220129_112037,20220129,2022,Saturday,mp4,3116773
13,20220129_112342,20220129,2022,Saturday,mp4,4434860
14,20220129_112401,20220129,2022,Saturday,mp4,4951104
15,20220129_112405,20220129,2022,Saturday,mp4,4664958
16,20220129_112409,20220129,2022,Saturday,mp4,3586453
17,20220201_102545,20220201,2022,Tuesday,png,7538590
18,20220202_075901,20220202,2022,Wednesday,mov,27411513
19,20220202_080056,20220202,2022,Wednesday,mov,27509805
20,20220202_091448,20220202,2022,Wednesday,mov,15601757
21,20220202_145718,20220202,2022,Wednesday,jpg,1856077
22,20220129_112342,20220129,2022,Saturday,heic,878483
23,20220129_112346,20220129,2022,Saturday,heic,967162
24,20220129_112401,20220129,2022,Saturday,heic,937634
25,20220129_112405,20220129,2022,Saturday,heic,985645
26,20220129_112409,20220129,2022,Saturday,heic,944893
27,20220129_165330,20220129,2022,Saturday,jpg,1713407
28,20220130_044106,20220130,2022,Sunday,heic,2181457
29,20220130_044106,20220130,2022,Sunday,mp4,2720635
30,20220130_101813,20220130,2022,Sunday,jpg,1855080
31,20220130_105028,20220130,2022,Sunday,jpg,839475
32,20220130_120424,20220130,2022,Sunday,png,8281444
33,20220130_223249,20220130,2022,Sunday,jpg,1854271
34,20220131_091806,20220131,2022,Monday,jpg,1758724
35,20220201_074928,20220201,2022,Tuesday,png,129463
36,20220201_080611,20220201,2022,Tuesday,png,7494740
37,20220201_102538,20220201,2022,Tuesday,png,144822
38,20220201_115928,20220201,2022,Tuesday,png,137855
39,20220202_075401,20220202,2022,Wednesday,jpg,2153967
40,20220202_075845,20220202,2022,Wednesday,heic,1725676
41,20220202_075845,20220202,2022,Wednesday,mp4,2048838
42,20220202_075853,20220202,2022,Wednesday,mp4,1719489
43,20220202_075957,20220202,2022,Wednesday,mov,1490606
44,20220201_115924,20220201,2022,Tuesday,png,130286
45,20220202_023358,20220202,2022,Wednesday,jpg,143401
46,20220202_024016,20220202,2022,Wednesday,jpg,142124
47,20220202_070432,20220202,2022,Wednesday,jpg,1591268
48,20220202_075853,20220202,2022,Wednesday,heic,1529113
49,20220202_080009,20220202,2022,Wednesday,heic,1530285
50,20220202_080009,20220202,2022,Wednesday,mp4,3989073
51,20220202_080508,20220202,2022,Wednesday,heic,2044404
52,20220202_080508,20220202,2022,Wednesday,mp4,1449097
53,20220202_091340,20220202,2022,Wednesday,jpg,1083240
54,20220202_091347,20220202,2022,Wednesday,jpg,1228553
55,20220202_092619,20220202,2022,Wednesday,jpg,1869635
